game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,home_team_win,point_differential,total_points,home_points_scored_rolling,home_points_allowed_rolling,home_point_diff_rolling,home_win_rate_rolling,home_recent_form,away_points_scored_rolling,away_points_allowed_rolling,away_point_diff_rolling,away_win_rate_rolling,away_recent_form,home_epa_per_play,home_success_rate,home_yards_per_play,home_epa_allowed_per_play,home_success_rate_allowed,away_epa_per_play,away_success_rate,away_yards_per_play,away_epa_allowed_per_play,away_success_rate_allowed,points_scored_rolling_differential,points_allowed_rolling_differential,point_diff_rolling_differential,win_rate_rolling_differential,recent_form_differential,is_divisional_game
2025_14_SEA_ATL,2025,REG,14,2025-12-07,Sunday,13:00,SEA,,ATL,,Home,,,,2025120700,,,202512070atl,28613.0,401772900,6929.0,7,7,,,,,,,,,0,closed,fieldturf,,,,,,,Mike Macdonald,Raheem Morris,,ATL97,Mercedes-Benz Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.25,0.0,0
2025_14_PIT_BAL,2025,REG,14,2025-12-07,Sunday,13:00,PIT,,BAL,,Home,,,,2025120701,,,202512070rav,28614.0,401772791,6930.0,7,10,,,,,,,,,1,outdoors,grass,,,,,,,Mike Tomlin,John Harbaugh,,BAL00,M&T Bank Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.0,0.0,0
2025_14_TEN_CLE,2025,REG,14,2025-12-07,Sunday,13:00,TEN,,CLE,,Home,,,,2025120702,,,202512070cle,28615.0,401772898,6931.0,7,7,,,,,,,,,0,outdoors,grass,,,,,,,Brian Callahan,Kevin Stefanski,,CLE00,FirstEnergy Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.0,0.0,,,,,,,,,,,,,,0.5,0.3333333333333333,0
2025_14_CHI_GB,2025,REG,14,2025-12-07,Sunday,13:00,CHI,,GB,,Home,,,,2025120703,,,202512070gnb,28616.0,401772897,6932.0,9,10,,,,,,,,,1,outdoors,grass,,,,,,,Ben Johnson,Matt LaFleur,,GNB00,Lambeau Field,0,,,,,,0.5,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,0.0,0
2025_14_IND_JAX,2025,REG,14,2025-12-07,Sunday,13:00,IND,,JAX,,Home,,,,2025120704,,,202512070jax,28617.0,401772793,6933.0,7,7,,,,,,,,,1,outdoors,grass,,,,,,,Shane Steichen,Liam Coen,,JAX00,TIAA Bank Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
2025_14_WAS_MIN,2025,REG,14,2025-12-07,Sunday,13:00,WAS,,MIN,,Home,,,,2025120705,,,202512070min,28618.0,401772899,6934.0,7,7,,,,,,,,,0,dome,sportturf,,,,,,,Dan Quinn,Kevin O'Connell,,MIN01,U.S. Bank Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
2025_14_MIA_NYJ,2025,REG,14,2025-12-07,Sunday,13:00,MIA,,NYJ,,Home,,,,2025120706,,,202512070nyj,28619.0,401772790,6935.0,7,7,,,,,,,,,1,outdoors,fieldturf,,,,,,,Mike McDaniel,Aaron Glenn,,NYC01,MetLife Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.0,0.0,,,,,,,,,,,,,,0.5,0.6666666666666666,0
2025_14_NO_TB,2025,REG,14,2025-12-07,Sunday,13:00,NO,,TB,,Home,,,,2025120707,,,202512070tam,28620.0,401772792,6936.0,7,7,,,,,,,,,1,outdoors,grass,,,,,,,Kellen Moore,Todd Bowles,,TAM00,Raymond James Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.75,0.6666666666666666,,,,,,,,,,,,,,-0.25,0.0,0
2025_14_DEN_LV,2025,REG,14,2025-12-07,Sunday,16:05,DEN,,LV,,Home,,,,2025120708,,,202512070rai,28621.0,401772794,6937.0,7,7,,,,,,,,,1,dome,grass,,,,,,,Sean Payton,Pete Carroll,,VEG00,Allegiant Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.0,0.0,0
2025_14_LA_ARI,2025,REG,14,2025-12-07,Sunday,16:25,LA,,ARI,,Home,,,,2025120709,,,202512070crd,28622.0,401772901,6938.0,7,7,,,,,,,,,1,closed,grass,,,,,,,Sean McVay,Jonathan Gannon,,PHO00,State Farm Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.0,0.0,0
